"ID","Questions","A","B","C","D","Correct"
"1","_____ error is the error where 2 or more bits change their value from 0 to 1 or 1 to 0.","Single","Multiple","Burst","None","C"
"2","_____ distance is the number of differences between the corresponding bits","Running distance","Transmission","Delay","Hamming distance","D"
"3","Hamming distance for d(000,011) is __ ?","1","2","3","4","B"
"4","Hamming distance for d(10101,11110) is __ ?","1","2","3","4","C"
"5","What is the minimum hamming distance of the codes d(000,101), d(101,001), d(010,110), d(011,100)?","1","2","3","4","A"
"6","What is the minimum hamming distance of the codes d(00000,01011), d(00000,10101), d(00000,11110), d(01011,10101)?","1","2","3","4","C"
"7","To guarantee correction of up to t errors in all cases, the minimum Hamming distance in a block code must be _____","2t+1","2t+2","t+1","t+2","A"
"8","The detection of up to s errors in all cases, the minimum Hamming distance in a block code must be","2s+1","2s+2","s+2","s+1","D"
"9","A code scheme has a Hamming distance dmin = 4. What is the error detection and correction capability of this scheme?","3,1","3,2","1,3","2,3","A"
"10","A simple parity-check code can detect an _____ number of errors","fixed","variable","even","odd","D"
"11","To guarantee the detection of 5 errors in all cases, the minimum hamming distance in a block code must be _____","6","11","5","10","A"
"12","To guarantee the correction of 5 errors in all cases, the minimum hamming distance in a block code must be _____","5","11","6","10","B"
"13","In a linear block code, the _____ of two codewords will create a valid codeword.","XNORing","ANDing","XORing","ORing","C"
"14","The _____ of errors is more difficult than _____","creation, detection ","creation, correction ","detection, creation ","correction , detection","D"
"15","In modulo-11 arithmetic, we use integers from range _____, (inclusive)","01-Nov","0-10","0-11","01-Oct","B"
"16","In modulo-N arithmetic, we use only the integers in the range _____, (inclusive).","1-N-1","0-N-2","0 - N-1","0-N","C"
"17","In block coding, we divide our message into blocks, each of k bits, called _____","codewords","bit-blocks","code-blocks","datawords","D"
"18","We add r redundant bits to each block to make the length n = k + r. The resulting n-bit blocks are called _____","codewords","bit-blocks","code-blocks","datawords","A"
"19","To detect or correct errors, we need to send extra _____ bits with data.","redundant","error detection bits","error correction bits","none","A"
"20","The hamming distance between equal codewords is ___","1","0","NONE","Can't be determined","B"
"21","In block coding, if n = 5 what is the maximum hamming distance between two codewords is ","4","10","11","5","D"
"22","Which error detection method uses one's compliment arithmetic?","CRC","Simple Parity","Checksum","NONE","C"
"23","Simple-parity check method consist use of ____ redundant bit per data","one/single","even no. of bits","multiple","equal to n","A"
"24","The divisor in a cyclic code is normally called the _____ polynomial","CRC","generator","redundancy bits","none","B"
