"ID","Questions","A","B","C","D","Correct"
"1","Which of these is not a layer in the OSI model?","Physical Layer","Transverse Layer","Network Layer","Session Layer","B"
"2","What is a computer network?","A device used to display information on a computer screen","A collection of interconnected computers and devices that can communicate and share resources","A type of software used to create documents and presentations","The physical casing that protects a computer’s internal components
correct","B"
"3","Which of the following allows you to connect and login to a remote computer?","SMTP","HTTP","FTP","Telnet","A"
"4","What is the full form of OSI?","optical service implementation","open service internet","open system interconnection","operating system interface","C"
"5","Which of the following is an example of Bluetooth?","wide area network","private virtual network","local area network","personal area network","D"
"6","Which one of the following is not a function of network layer?","Error Control","Inter-networking","Congestion Control","Routing","A"
"7","How many layers are there in the ISO OSI reference model?","5","3","7","6","C"
"8","Which network topology requires a central controller or hub?","Bus","Star","Tree","Ring","B"
"9","What type of transmission is involved in communication between a computer and a keyboard?","Half-duplex","Full duplex","Simplex","Automatic","C"
"10","A ____ is a device that forwards packets between networks by processing the routing information included in the packet.","Router","Bridge","Hub","Firewall","A"
"11","In the early days of networking, which technology was commonly used to connect computers in a local network within the same room?","Internet","Cable","Ethernet","Wi-Fi","C"
"12","In which topology does each device have a direct connection to every other device?","Bus","Star","Ring","Mesh","D"
"13","Which TCP/IP layer handles the addressing and routing of data packets?","Application Layer","Network Layer","Physical Layer","Application Layer","B"
"14","Which protocol is used for resolving domain names to IP addresses in the TCP/IP model?","UDP","ICMP","DNS","IEEE","C"
"15","What is the primary function of the OSI model's Application Layer?","Routing","Packetizing","Error Control","User-interaction Interface","D"
"16","Which is not a characteristic of Data Communication?","Data Rate","Accuracy","Jitter","Delivery","A"
"17","Which type of transmission is involved between walkie-talkies?","Full duplex","Simplex","Half duplex","None of these","C"
"18","Which type of transmission is involved during a phone call?","Full duplex","Simplex","Half duplex","None of these","A"
"19","Which is not a type of computer network?","PAN","WAN","MAN","BAN","D"
"20","Which element of protocols define the structure and order of data?","Timing","Syntax","Semantics","Header","B"
"21","Define Protocol","Establishes a digital connection between your computer and a remote server.","The process of dividing digital data into small parts, or frames, to be sent across a network.","An identifier for a node or host on a telecommunications network.","Set of rules that define data communication.","D"
"22","What is the full form of ISDN?","International Standard Digital Network","International Subscriber Dialing Network","Integrated Service Digital Network","Intergrated System Digital Network","C"
"23","Which Internet Standard is used for collecting and organizing information about managed devices?","SNMP","IP","TCP","DNS","A"
"24","Which OSI model's layer ensures end-to-end reliable data transmission?","Transport Layer","Network Layer","Session Layer","Data Link Layer","A"
"25","Which address changes from hop to hop?","Logical Address","MAC Address","IP Address","None of these","B"
"26","If number of nodes are 10, how many connections are possible for mesh topology?","55","60","10","45","D"
"27","If number of nodes are 10, how many ports are possible for star topology?","10,10","15,15","10,15","15,20","A"
"28","If number of nodes are 10, how many ports are possible for mesh topology?","45","10","9","55","C"
"29","What is the difference between number of connections possible for star and mesh topologies, if number of nodes are 30?","510","405","395","400","B"
"30","Which topology uses a common data line and is bidirectional?","Star","Mesh","Bus","Ring","C"
"31","What is the discrete condition used to limit data flow by network resources?","Bottleneck","Bandwidth","Routing","VPN","A"
"32","Which device works at the physical layer to regenerate the signal over the same network?","Router","Repeater","Hub","Amplifier","B"
"33","Which device routes packets based on their IP addresses?","Router","Repeater","Hub","Amplifier","A"
"34","Which network layer device is also called a protocol converter?","Router","Repeater","Gateway","Amplifier","C"
"35","Switch is a multiport bridge that works in ___ layer of OSI model.","Data Link","Transport","Physical","Network","A"
"36","Name a 2 port device used for interconnecting two LANs working on the same protocol.","Hub","Switch","Repeater","Amplifier","B"
"37","Name a network device that cannot filter data, and hence data packets are sent to all connected devices.","Router","Switch","Hub","Amplifier","C"
"38","Name a network adapter installed to establish a LAN connection.","Amplifier","Repeater","SIM card","Network Interface Card","D"
"39","Which is not a network device?","Network Interface Card","Network Link Card","Router","Modem","B"
"40","___ is a connection of independent remote networks and their connecting devices.","WAN","Internetwork","Interconnected Network","MAN","B"
"41","Which is the user-support layer of the OSI model?","Data Link","Physical","Network","Application","D"
