"ID","Questions","A","B","C","D","Correct"
"1","Which of the following is switching method used in telephone connections","Message","Circuit","Packet","Network","B"
"2","Which protocols are used to route data based on occupied band in circuit switching","FDM","RDM","TDM","KDM","A"
"3","Which protocols are used to route data based on time slot in circuit switching","FDM","RDM","TDM","KDM","C"
"4","In which phase are resourcec reserved in circuit switching","Data Transfer","Tear Down","Jump","Setup","D"
"5","In what form is data transferred in circuit","In Packets","In Bits","Discontinous","Continous","D"
"6","In which layer are resources reserved","Physical layer","Network Layer","Transport Layer","Presentation Layer","A"
"7","What are packets","Data Transfer mediums","Groups of data into blocks","Fees for transmission","Routing labels","B"
"8","In which layer are packets made","Network","Transport","Session","Application","A"
"9","Constant bit rate and constant delay?","Transport","Network","Session","Application","B"
"10","Variable bit rate?","Data links","Data","Bits","Packet","D"
"11","What is traffic fees in circuit","Bits per time","Packets per time","Fees per time","Data per time","C"
"12","What is traffic fees in packet","Bits per information","Packets per information","Fees per information","Data per infotmation","C"
"13","Another name for datagram switching","Connection-oriented","Connectionless","Physical Link","Virtual Link","B"
"14","How is forwarding decision made ","Destiantion address","System Address","Network Address","Source Address","A"
"15","Which layer routes packets between sender and receiver","Physical","Session","Presentation","Network","D"
"16","Which is not present in connectionless routing table","Labels","Source address","Destination address","Data","A"
"17","How are packets received in connectionless","Queued","Linked","Out of order","In order","C"
"18","How are packets received in connection-oriented","Queued","Linked","Out of order","In order","D"
"19","Another name for virtual circuit switching","Connection-oriented","Connectionless","Physical Link","Message-oriented","A"
"20","How is forwarding decision made ","Port and Source","Soure and Destination","Source and Label","Port and Label","D"
"21","When are incoming port and label assigned","Setup Ack. Phase","Teardown Phase","Setup Request Phase","Data Transfer Phase","C"
"22","When are outgoing port and label assigned","Setup Request Phase","Setup Ack. Phase","Data Transfer Phase","Teardown Phase","B"
"23","When is virtual circuit released","Teardown phase","Setup Request Phase","Setup Ack. Phase","Data Transfer Phase","A"
"24","What is a label in routing table","Virtual Network Identifier","Real Circuit Identifier","Real Network Identifier","Virtual Circuit Identifier","D"
"25","What is port in routing table","Interface of router","Data labels in routing table","Medium between routers","User-network interface","A"
"26","What data is transmitted through packet switching","Binary","Digital","Analog","Message","B"
"27","What data is transmitted through circuit switching","Hex","Binary","Digital and Analog","Message","C"
"28","What is API","Application Programming Interface","Application Packet Interswitching","Amplification Programming Interface","Amplification Packet Internetworking","A"
"29","What is a socket","Local application to attach to a network","Router ports","Data Transfer Medium","User-network interface","A"
"30","Socket on server's side?","Partially open","Passive open","Active open","None","B"
"31","Socket on client's side?","Partially open","Passive open","Active open","None","C"
"32","What is attenuation","Gain of energy","Distortion of signal of different frequencies","Increase in signal strength","Loss of energy during transmission","D"
"33","What is the term for decibal being positive","Amplification","Attenuation","None ","Both","A"
"34","What is distortion?","Gain of signal energy ","Shape of composite signal changes for receiver","Loss of signal energy","Shape of composite signal changes for sender","B"
"35","You have a network connection with a round-trip time of 50ms. What is latency","200","50","100","25","D"
"36","If a network connection has a bandwidth of 100Mbps, how many megabytes of data can it transmit in 5 seconds?","200","50","100","25","B"
"37","You are transmitting a 1000-byte data packet over a network. If the header size of each packet is 50 bytes, what is the efficiency of the network","95.34","95.11","95.24","95.224","C"
"38","A network has a bandwidth of 1 Gbps (Gigabit per second). If a user is downloading a file at 500 Mbps (Megabit per second), what percentage of the network's bandwidth is being utilized?","80%","70%","60%","50%","D"
"39","If a network has a theoretical maximum bandwidth of 1000 Mbps, but due to network congestion, it achieves an actual throughput of 800 Mbps, what is its throughput efficiency?","50%","60%","70%","80%","D"
"40","In a network, data packets have a header size of 120 bytes, and the payload size is 800 bytes. Calculate the efficiency of the network in transmitting data","0.09%","0.87%","87%","8.70%","C"
"41","Which is not a part of latency","Queue Time","Transmission delay","Propagation delay","Jitter","D"
"42","Calculate the total transmission delay for a data packet of 1,000 bytes sent over a 100 Mbps (Megabits per second) network link with a propagation delay of 10 milliseconds and a processing delay of 5 milliseconds","15.001ms","15.01ms","1.501ms","0.1501ms","B"
"43","A network router has a queue of data packets waiting to be transmitted. If the average queue time is 20 milliseconds, and packets are being transmitted at a rate of 1,000 packets per second, how many packets are typically waiting in the queue?","50","40","30","20","D"
"44","Calculate the throughput in Megabits per second (Mbps) for a network that can transmit 1,000,000 bytes of data in 10 seconds.","80","8","800","8000","C"
"45","A signal travels through a fiber-optic cable with a propagation speed of 200,000 kilometers per second. Calculate the propagation delay for a signal to travel 500 kilometers through this cable","2.5ms","250ms","0.25ms","25ms","A"
"46","A network has a transmission delay of 5 milliseconds and a propagation delay of 2 milliseconds. Calculate the round trip delay","15","14","20","12","B"
"47","If a network has a round-trip latency of 50 milliseconds and a one-way transmission delay of 5 milliseconds, what is the total round-trip time for a data packet to travel from the sender to the receiver and back","112","115","110","120","C"
"48","Calculate the total end-to-end latency for a video call application where the transmission delay is 15 milliseconds, the propagation delay is 5 milliseconds, and the processing delay is 10 milliseconds at one end","20","30","40","50","B"
