"ID","Questions","A","B","C","D","Correct"
"1","What is the length of an IPv4 address?","32 bits","64 bits","128 bits","256 bits","A"
"2","What are the two levels of hierarchical structure in a 32-bit IP address?"," Network ID and Host ID","Domain ID and Subnet ID","Router ID and Gateway ID","Source ID and Destination ID","A"
"3","How many classes are there in classful addressing?","1","2","3","4","B"
"4","Which class starts with the prefix ""1100""?","Class A","Class B","Class C","Class D","D"
"5","Which class starts with the prefix ""1110""?","Class A","Class B","Class C","Class D","D"
"6","What is the purpose of a subnet mask?","To identify the network address","To identify the host address","To determine the class of the IP address","To calculate the broadcast address","A"
"7","How many values can the 4-bit class identifier have?","2","4","8","16","C"
"8","What is the network address range for class A?","0.0.0.0 - 127.255.255.255","128.0.0.0 - 191.255.255.255","192.0.0.0 - 223.255.255.255","224.0.0.0 - 239.255.255.255","A"
"9","What is the network address range for class B?","0.0.0.0 - 127.255.255.255","128.0.0.0 - 191.255.255.255","192.0.0.0 - 223.255.255.255","224.0.0.0 - 239.255.255.255","B"
"10","What is the network address range for class C?","0.0.0.0 - 127.255.255.255","128.0.0.0 - 191.255.255.255","192.0.0.0 - 223.255.255.255","224.0.0.0 - 239.255.255.255","C"
"11","What is the network address range for class D?","0.0.0.0 - 127.255.255.255","128.0.0.0 - 191.255.255.255","192.0.0.0 - 223.255.255.255","224.0.0.0 - 239.255.255.255","D"
"12","What is the network address range for class E?","0.0.0.0 - 127.255.255.255","128.0.0.0 - 191.255.255.255","192.0.0.0 - 223.255.255.255","224.0.0.0 - 239.255.255.255","D"
"13","What is the purpose of address conversion from binary to hex?","To simplify the IP address","To represent the IP address in a shorter format","To convert the IP address to a different numbering system","To improve the readability of the IP address","B"
"14","What is the purpose of address conversion from decimal to binary?","To simplify the IP address","To represent the IP address in a shorter format","To convert the IP address to a different numbering system","To improve the readability of the IP address","C"
"15","What is the error in the IP address ""111.56.045.78""?","Incorrect format","Invalid octet value","Missing octet","None of the above","B"
"16","What is the error in the IP address ""221.34.7.8.20""?","Incorrect format","Invalid octet value","Missing octet","None of the above","A"
"17","What is the error in the IP address ""75.45.301.14""?","Incorrect format","Invalid octet value","Missing octet","None of the above","B"
"18","What is the error in the IP address ""11000010.23.15.123""?","Incorrect format","Invalid octet value","Missing octet","None of the above","C"
"19","What is CIDR an abbreviation for?","Classless Internet Domain Routing","Classful Internet Domain Routing","Continuous Internet Domain Routing","Centralized Internet Domain Routing","A"
"20","What is the purpose of CIDR in classless addressing?","To divide the IP address space into smaller subnets","To determine the class of an IP address","To assign unique IP addresses to each device on a network","To facilitate efficient routing in a large network","D"
"21","How many addresses are there in class A and class B?","Class A: 16 million addresses, Class B: 65,536 addresses","Class A: 65,536 addresses, Class B: 16 million addresses","Class A: 2^24 addresses, Class B: 2^16 addresses","Class A: 2^16 addresses, Class B: 2^24 addresses","D"
"22","What is the concept of one subnet in CIDR?","A logical division of an IP network into multiple smaller networks","A physical division of an IP network into multiple smaller networks","A method to determine the class of an IP address","A technique to convert binary IP addresses to decimal format","A"
"23","How many subnets can be created by taking 10 bits from the host part of a class B address?","1024","2048","4096","8192","C"
"24","How do we determine the subnet from an IP address using subnet mask?","Perform a logical AND operation between the IP address and the subnet mask","Perform a logical OR operation between the IP address and the subnet mask","Perform a logical NOT operation on the IP address","Perform a logical XOR operation between the IP address and the subnet mask","A"
"25","What is the purpose of a subnet mask?","To identify the network address","To identify the host address","To calculate the broadcast address","All of the above","D"
"26","What is a supernet in IPv4?","A network address that spans multiple subnets","A network address that spans multiple networks","A network address that spans multiple countries","A network address that spans multiple continents","B"
"27","What is NAT an abbreviation for?","Network Address Termination","Network Address Translation","Network Access Technology","Network Authentication Token","B"
